Air Temperature (°C),Air Humidity (%),Light Intensity (lux),Water Required (ml)
27.5,31.9,50,192.2
39.0,68.2,10,125.1
34.6,48.9,16,178.7
32.0,60.5,68,133.0
23.1,84.5,47,40.6
23.1,45.0,5,127.7
21.2,54.6,11,97.1
37.3,75.3,51,97.2
32.0,43.7,4,180.6
34.2,34.6,15,224.9
20.4,47.4,43,111.7
39.4,39.7,53,243.0
36.6,85.8,50,57.1
24.2,78.5,20,54.2
23.6,68.0,55,81.1
23.7,82.3,21,44.0
26.1,78.2,27,59.5
30.5,41.2,57,185.0
28.6,83.6,50,52.1
25.8,62.4,64,103.6
32.2,78.4,51,74.6
22.8,83.8,44,41.4
25.8,49.1,11,132.7
27.3,36.6,30,176.3
29.1,43.7,23,166.3
35.7,55.6,21,160.6
24.0,79.1,73,57.5
30.3,81.6,32,58.8
31.8,30.4,67,228.3
20.9,60.6,49,87.2
32.2,55.0,60,150.6
23.4,43.3,40,136.6
21.3,37.2,45,138.3
39.0,50.3,39,197.8
39.3,86.6,18,54.6
36.2,49.4,55,188.6
26.1,61.1,24,103.8
22.0,72.2,6,61.6
33.7,51.8,50,167.3
28.8,88.3,17,35.3
22.4,87.7,71,34.6
29.9,45.1,72,171.3
20.7,59.8,69,90.0
38.2,48.1,30,201.4
25.2,47.1,5,133.7
33.3,32.2,70,232.4
26.2,66.6,34,91.1
30.4,60.2,73,128.4
30.9,33.1,72,214.2
23.7,46.7,65,132.7
39.4,84.5,25,63.6
35.5,44.4,31,200.6
38.8,38.7,64,244.3
37.9,59.4,26,156.6
32.0,89.1,16,36.3
38.4,44.5,44,217.6
21.8,70.3,70,71.6
23.9,75.7,53,63.5
20.9,44.3,44,121.0
26.5,73.7,11,70.8
27.8,52.1,48,137.9
25.4,67.9,74,89.0
36.6,68.0,14,118.4
27.1,62.1,41,106.8
25.6,35.4,66,172.1
30.9,80.1,57,67.0
22.8,49.2,54,121.2
36.0,41.2,54,217.4
21.5,32.4,30,148.1
39.7,65.5,25,139.8
35.4,70.7,62,110.2
24.0,31.0,62,171.6
20.1,60.7,66,85.5
36.3,43.6,69,211.7
34.1,68.7,40,110.8
34.6,40.5,40,209.8
35.4,71.5,61,107.2
21.5,53.2,50,105.5
27.2,86.2,54,42.9
22.3,38.3,60,143.9
37.3,50.5,67,191.3
32.5,36.8,28,208.0
26.6,85.5,31,41.7
21.3,82.6,11,38.0
26.2,45.5,45,147.5
26.5,69.6,7,81.2
34.6,79.0,37,76.2
32.8,63.3,42,124.4
37.7,61.8,24,146.7
29.4,44.5,46,168.0
22.4,35.6,6,144.9
34.3,83.8,7,56.1
35.2,84.0,62,62.5
31.2,68.0,30,102.9
35.4,50.3,13,177.2
29.9,51.0,41,150.6
30.5,73.6,59,86.4
28.6,83.8,19,48.1
20.5,83.2,48,39.2
22.2,76.8,10,52.4
